Provinsi,Tahun,Produksi
KALIMANTAN TENGAH,2013,3885
KALIMANTAN TENGAH,2014,4116
KALIMANTAN TENGAH,2015,3239
KALIMANTAN TENGAH,2016,2845
KALIMANTAN TENGAH,2017,2774
KALIMANTAN TENGAH,2018,3639
KALIMANTAN TENGAH,2019,5864
KALIMANTAN TENGAH,2020,6124
KALIMANTAN TENGAH,2021,6961
KALIMANTAN TENGAH,2022,5419
KALIMANTAN TENGAH,2023,6969
KALIMANTAN SELATAN,2003,802
KALIMANTAN SELATAN,2004,1153.6
KALIMANTAN SELATAN,2005,2440.8
KALIMANTAN SELATAN,2006,4449
KALIMANTAN SELATAN,2007,6125
KALIMANTAN SELATAN,2008,5834
KALIMANTAN SELATAN,2009,3607
KALIMANTAN SELATAN,2010,3191
KALIMANTAN SELATAN,2011,2506
KALIMANTAN SELATAN,2012,2194
KALIMANTAN SELATAN,2013,2625
KALIMANTAN SELATAN,2014,3606
KALIMANTAN SELATAN,2015,4789
KALIMANTAN SELATAN,2016,7322
KALIMANTAN SELATAN,2017,11849
KALIMANTAN SELATAN,2018,12672
KALIMANTAN SELATAN,2019,13768
KALIMANTAN SELATAN,2020,15616
KALIMANTAN SELATAN,2021,11758
KALIMANTAN SELATAN,2022,11764
KALIMANTAN SELATAN,2023,13255
KALIMANTAN TIMUR,2003,1836
KALIMANTAN TIMUR,2004,12029
KALIMANTAN TIMUR,2005,7943.7
KALIMANTAN TIMUR,2006,8446
KALIMANTAN TIMUR,2007,7731
KALIMANTAN TIMUR,2008,9784
KALIMANTAN TIMUR,2009,8653
KALIMANTAN TIMUR,2010,7721
KALIMANTAN TIMUR,2011,7023
KALIMANTAN TIMUR,2012,7168
KALIMANTAN TIMUR,2013,7251
KALIMANTAN TIMUR,2014,8118
KALIMANTAN TIMUR,2015,5687
KALIMANTAN TIMUR,2016,5322
KALIMANTAN TIMUR,2017,6040
KALIMANTAN TIMUR,2018,6797
KALIMANTAN TIMUR,2019,8029
KALIMANTAN TIMUR,2020,9081
KALIMANTAN TIMUR,2021,8367
KALIMANTAN TIMUR,2022,7778
KALIMANTAN TIMUR,2023,7470
SULAWESI UTARA,2003,2448
SULAWESI UTARA,2004,8868.9
SULAWESI UTARA,2005,8498.1
SULAWESI UTARA,2006,2902
SULAWESI UTARA,2007,5661
SULAWESI UTARA,2008,5836
SULAWESI UTARA,2009,12901
SULAWESI UTARA,2010,9150
SULAWESI UTARA,2011,9180
SULAWESI UTARA,2012,9656
SULAWESI UTARA,2013,8461
SULAWESI UTARA,2014,8487
SULAWESI UTARA,2015,8284
SULAWESI UTARA,2016,12784
SULAWESI UTARA,2017,16915
SULAWESI UTARA,2018,16470
SULAWESI UTARA,2019,14760
SULAWESI UTARA,2020,22414
SULAWESI UTARA,2021,17371
SULAWESI UTARA,2022,19006
SULAWESI UTARA,2023,17978
SULAWESI BARAT,2003,0
SULAWESI BARAT,2004,0
SULAWESI BARAT,2005,0
SULAWESI BARAT,2006,1971
SULAWESI BARAT,2007,2368
SULAWESI BARAT,2008,956
SULAWESI BARAT,2009,1590
SULAWESI BARAT,2010,2004
SULAWESI BARAT,2011,1864
SULAWESI BARAT,2012,2168
SULAWESI BARAT,2013,1974
SULAWESI BARAT,2014,2288
SULAWESI BARAT,2015,1412
SULAWESI BARAT,2016,2496
SULAWESI BARAT,2017,2651
SULAWESI BARAT,2018,2659
SULAWESI BARAT,2019,2663
SULAWESI BARAT,2020,1399
SULAWESI BARAT,2021,3336
SULAWESI BARAT,2022,3496
SULAWESI BARAT,2023,3710
SULAWESI TENGAH,2003,990
SULAWESI TENGAH,2004,2427.7
SULAWESI TENGAH,2005,2295.7
SULAWESI TENGAH,2006,6232
SULAWESI TENGAH,2007,3928
SULAWESI TENGAH,2008,5059
SULAWESI TENGAH,2009,5435
SULAWESI TENGAH,2010,9957
SULAWESI TENGAH,2011,14818
SULAWESI TENGAH,2012,10158
SULAWESI TENGAH,2013,7660
SULAWESI TENGAH,2014,12520
SULAWESI TENGAH,2015,15924
SULAWESI TENGAH,2016,11635
SULAWESI TENGAH,2017,21230
SULAWESI TENGAH,2018,26091
SULAWESI TENGAH,2019,22632
SULAWESI TENGAH,2020,25042
SULAWESI TENGAH,2021,22199
SULAWESI TENGAH,2022,25389
SULAWESI TENGAH,2023,21552
PAPUA,2003,0
PAPUA,2004,0
PAPUA,2005,1030.2
PAPUA,2006,2091
PAPUA,2007,0
PAPUA,2008,6805
PAPUA,2009,6457
PAPUA,2010,4176
PAPUA,2011,4031
PAPUA,2012,5143
PAPUA,2013,3637
PAPUA,2014,3648
PAPUA,2015,2513
PAPUA,2016,7954
PAPUA,2017,6425
PAPUA,2018,6944
PAPUA,2019,4388
PAPUA,2020,3436
PAPUA,2021,5054
PAPUA,2022,4335
PAPUA,2023,4556
